stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
600359,2014,新疆塔里木农业综合开发股份有限公司,新农开发,行业分类候选,1201096261,2014年年度报告（修订版）,新农开发,2015-06-02,https://static.cninfo.com.cn/finalpage/2015-06-03/1201096261.PDF,2636,2026-08-06,已取得法定年度报告链接
600371,2014,万向德农股份有限公司,万向德农,行业分类候选,1200812452,2014年年度报告,万向德农,2015-04-10,https://static.cninfo.com.cn/finalpage/2015-04-11/1200812452.PDF,2199,2026-08-06,已取得法定年度报告链接
600429,2014,北京三元食品股份有限公司,三元股份,龙头企业身份核实候选,1200935227,2014年年度报告,三元股份,2015-04-28,https://static.cninfo.com.cn/finalpage/2015-04-29/1200935227.PDF,3012,2026-08-06,已取得法定年度报告链接
600438,2014,通威股份有限公司,通威股份,龙头企业身份核实候选,1200766033,2014年年度报告,通威股份,2015-03-30,https://static.cninfo.com.cn/finalpage/2015-03-31/1200766033.PDF,3746,2026-08-06,已取得法定年度报告链接
600467,2014,山东好当家海洋发展股份有限公司,好当家,行业分类候选+龙头企业身份核实候选,1200906321,2014年年度报告,好当家,2015-04-24,https://static.cninfo.com.cn/finalpage/2015-04-25/1200906321.PDF,2439,2026-08-06,已取得法定年度报告链接
600506,2014,统一低碳科技(新疆)股份有限公司,统一股份,行业分类候选,1200898900,2014年年度报告,香梨股份,2015-04-23,https://static.cninfo.com.cn/finalpage/2015-04-24/1200898900.PDF,2110,2026-08-06,已取得法定年度报告链接
600540,2014,新疆赛里木现代农业股份有限公司,新赛股份,行业分类候选,1200848995,2014年年度报告,新赛股份,2015-04-16,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848995.PDF,3011,2026-08-06,已取得法定年度报告链接
600543,2014,甘肃莫高实业发展股份有限公司,*ST莫高,龙头企业身份核实候选,1200911002,2014年年度报告,莫高股份,2015-04-24,https://static.cninfo.com.cn/finalpage/2015-04-25/1200911002.PDF,2306,2026-08-06,已取得法定年度报告链接
600597,2014,光明乳业股份有限公司,光明乳业,龙头企业身份核实候选,1200756228,2014年年度报告,光明乳业,2015-03-27,https://static.cninfo.com.cn/finalpage/2015-03-28/1200756228.PDF,2752,2026-08-06,已取得法定年度报告链接
600598,2014,黑龙江北大荒农业股份有限公司,北大荒,行业分类候选,1200763582,2014年年度报告,*ST大荒,2015-03-30,https://static.cninfo.com.cn/finalpage/2015-03-31/1200763582.PDF,2663,2026-08-06,已取得法定年度报告链接
600873,2014,梅花生物科技集团股份有限公司,梅花生物,龙头企业身份核实候选,1200709950,2014年年度报告,梅花生物,2015-03-17,https://static.cninfo.com.cn/finalpage/2015-03-18/1200709950.PDF,2828,2026-08-06,已取得法定年度报告链接
600887,2014,内蒙古伊利实业集团股份有限公司,伊利股份,龙头企业身份核实候选,1200910558,2014年年度报告,伊利股份,2015-04-24,https://static.cninfo.com.cn/finalpage/2015-04-25/1200910558.PDF,2792,2026-08-06,已取得法定年度报告链接
600962,2014,国投中鲁果汁股份有限公司,国投中鲁,龙头企业身份核实候选,1200924088,2014年年度报告,国投中鲁,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200924088.PDF,3031,2026-08-06,已取得法定年度报告链接
600965,2014,河北福成五丰食品股份有限公司,*ST福成,行业分类候选+龙头企业身份核实候选,1200757012,2014年年度报告,福成五丰,2015-03-27,https://static.cninfo.com.cn/finalpage/2015-03-28/1200757012.PDF,2452,2026-08-06,已取得法定年度报告链接
600975,2014,湖南新五丰股份有限公司,新五丰,行业分类候选+龙头企业身份核实候选,1200948765,2014年年度报告,新五丰,2015-04-29,https://static.cninfo.com.cn/finalpage/2015-04-30/1200948765.PDF,2478,2026-08-06,已取得法定年度报告链接
